MEMBER_ID	USERNAME	BONUS	PASSWORD	BIRTHDAY	EMAIL	SEX	INVITE_CODE	CREATE_DATE	STATUS	TOKEN_ID	DEVICE	PUSHCODE	BACKGROUNDURL
1	aaa	3	123	2014-05-15 18:07:00		0			2	7dcd9f48c85418dab349592582185f87			
2	bbb	0	123	2014-05-16 10:07:34		0			2	321			
3	ccc	7	123	2014-05-19 09:41:31		0			2	aa08a6be3b3f9d106918c5374fd6b602			
4	ddd	0	123	2014-05-19 09:41:34		0			2				
5	eee	0	123	1999-01-01		0		2014/5/22 15:20:44	2				
6	1aaa	0	123	1987-09-21		1		2014/5/22 02:49:50	2	635902042e367fabad574f31c839e391			
7	1111	0	1111	1994-5-22		0		2014/5/22 03:22:23	2	5165e8f593d66f14bcd0c97b3d2851c9			
8	2222	0	2222	1994-5-22		0		2014/5/22 03:25:45	2	c9bfe61b2b331362811426087128817d			
9	1234	0	1234	1995-5-28		0		2014/5/28 14:48:27	2	4bf570fb86ae27a0fc2e2132088d5b25			
10	qqqq	0	2111	1994-5-29		0		2014/5/28 01:15:31	2	35ffd2d083b4be2b4e80855987557b92			
11	wwwwwwwwww	0	1111	1994-5-29		0		2014/5/28 02:04:10	2	5d447960bc1518bc7fd14fcbe99a789b			
12	eeeeeeeeee	0	1111	1994-5-29		0		2014/5/28 02:17:43	2	6e6987f4ae30c673fc0a095823864dd6			
13	mmmmmmmmmm	0	1111	1994-5-29		0		2014/5/28 02:18:57	2	bbf02841612f94c9c435e986e4b97866			
14	kkkkkkkkkk	0	1111	1994-5-28		1		2014/5/28 02:30:12	2	3d917bb11d2f6a1b2c800b30049f7489			
15	tttttttttt	2	1111	1993-5-29		1		2014/5/28 02:41:43	2	53459448c57b6b79bc21409fdcb714b8			
16	4	0	123	1987-09-21		1		2014/5/29 10:12:45	2	1b3b62b0fd8382cc6c9e55857b7a6e1d			
17	4444	0	123	1987-09-21		1		2014/5/28 20:37:43	2	6ac2696438b1d901957c135a11da5fbb			
18	ivy3	0	123	1987-09-21		1		2014/5/28 20:53:55	2	6dc8754a8f3b697ef6811367ead2ed7c			
19	ivy4	0	123	1987-09-21		1		2014/5/28 20:57:39	2	066dc581de194fcf244d2286bf7543a0			
20	ivy5	0	123	1987-09-21		1		2014/5/28 20:58:48	2	1e88418e0b16fa8f34c38f6af4b717a2			
21	ivy6	0	123	1987-09-21		1		2014/5/28 21:00:54	2	19fb2493c2a5ae98ecad931109469c1a			
22	ivy7	0	123	1987-09-21		1		2014/5/28 21:02:12	2	2bf96707d5735c59ba315dc9815f78fd			
23	ivy8	0	123	1987-09-21		1		2014/5/28 21:03:13	2	aba5e872ccbf9e708e1cd97dc8d61ef8			
24	44444	2	123	1987-09-21		1		2014/5/29 10:44:26	2	e3bb082a1d018aee1fbf1269840fed19			
25	444444	2	123	1987-09-21		1		2014/5/28 21:11:16	2	b14591843b415f6a2ef465ad90162aaa			
26	ivy1	2	123	1987-09-21		1		2014/5/28 21:25:32	2	e51a63edb3702652e7821ff4cd4bd014			
27	ivy2	2	123	1987-09-21		1		2014/5/28 21:25:51	2	87bbf9b6e867973b088ac2d5665261bc			
28	fdsfs	2	Fdfs	(null)		1		2014/5/28 21:44:52	2	eb0ade773aeb6c0fb1c62ae47a647813			
29	fsfs	2	fsfs	(null)		2		2014/5/28 21:49:10	2	de3a70341d20c92cf39451d251d3b1e6			
30	fasfasdada	2	Dasda	(null)		2		2014/5/28 21:50:29	2	0c19ba81478d025e252b689e4c708e2e			
31	Gg	2	fsfsfsd	1986-05-29		2		2014/5/28 22:03:21	2	1911a51eb19fdb0c39bce1e9ca2e2010			
32	ivy10	2	1234	1994-05-29		1		2014/5/28 23:39:27	2	b6ce315d6bcf191ea695958c91f87608			
33	glogkmdag5	2	1234	1994-4-29		1		2014/5/29 01:16:23	2	e599961e5d956a7496821cba966d4988			
34	fsfsfsfsfsdfs	2	Fddd	2014-05-29		2		2014/5/29 02:01:03	2	8750f66d628f5db37950a7157bf16de0			
35	Ivy11	2	123456	2014-05-10		2		2014/5/29 02:26:19	2	bec1bad50b56d104af31f66d3f66a02b			
36	ivy13	2	1234	2014-05-29		2		2014/5/29 02:28:08	2	f8dc3e8ba1aa5041050a61f09609547f			
37	Ivy14	2	1234	2014-05-29		2		2014/5/29 02:29:28	2	ac8260d3bcc1d92daa571bffe70914b8			
38	ivy15	2	1234	2014-05-29		2		2014/5/29 02:30:21	2	e6a41b69116e3a313ec7ec2fce031c41			
39	Ivy17	2	1234	2014-05-29		2		2014/5/29 02:37:32	2	ebf66d23ce5035caa27753870c4af388			
40	Ivy18	2	1234	2014-05-29		2		2014/5/29 02:40:08	2	6ee70600544b90e142075a456a5840bf			
41	Ivy19	2	1234	2014-05-29		2		2014/5/29 02:42:36	2	2c5a73a10e254396881c743ee1f03ea2			
42	Ivy20	2	1234	2014-05-29		2		2014/5/29 02:48:05	2	baa6fd39889c8f43e800922572547290			
43	Ivy21	2	1234	2014-05-29		2		2014/5/29 02:49:34	2	e35182768d47f9ce71fcc69077851ac8			
44	Ivy22	2	1234	2014-05-29		2		2014/5/29 02:50:10	2	b890ce6d6b02db50f33a4480feec6eee			
45	Ivy23	2	1234	2014-05-29		2		2014/5/29 02:54:54	2	a9962d1a73844eeaff17c816fa4e5dd3			
46	ivy24	2	123	1987-09-21		1		2014/5/29 02:56:01	2	17cef552778b4b66a3886f2da2e64619			
47	ivy25	2	123	1987-09-21		1		2014/5/29 02:56:17	2	9ac700401785d3c66ce8034125d1f351			
48	oooooppppp	2	1111	2016-5-31		0		2014/5/29 02:57:52	2	5265e4f5850d57958c7d569aaf37e4b1			
49	oooooiiiii	2	1111	2016-5-31		0		2014/5/29 02:58:05	2	1d709e82f0df0431fdf7b110ea98ceb5			
50	Ivy30	2	1234	2014-05-29		2		2014/5/29 02:58:49	2	05c2b178da9386f5200ee686f30128a9			
51	qqqqqqqqqq	2	1111	1994-5-29		0		2014/5/29 03:03:50	2	95060f98d858eb4371eebb2cbbc98262			
52	qqqqqqqqqw	2	1111	1994-5-29		0		2014/5/29 03:04:13	2	f87a9135e2bee4b4cc734ece55c6c0a4			
53	ooooolllll	2	1111	2016-5-31		0		2014/5/29 03:41:01	2	941a88b6807797b518a3c9e72f267efe			
54	Ivy32	2	123456	2014-05-29		2		2014/5/29 03:51:55	2	2dac34d8c139ccb7b23d6bea62649ab1			
55	ivy34	2	123	1987-09-21		1		2014/5/29 03:59:37	2	0faa24160ef3bad5586f31a8a497ba82			
56	rrrrrrrrrr	2	1234	1994-5-29		1		2014/5/29 04:01:41	2	334a805a0352a34dcde207b4b14aa454			
57	rrrrrrrttt	2	1234	1994-5-29		1		2014/5/29 04:05:15	2	6927cad0212283879f224c86ee5e9459			
58	rrrrrppppp	2	1234	1994-5-29		1		2014/5/29 04:12:17	2	117a8cfe4182c5030e4d69c771d4ff45			
